"","Subject","Exp","order","subBlock","countProp","trialCongruency","vjoutRT"
"393","64","E2","B1 0","B1","100% Con","con",418
"394","64","E2","B1 0","B1","100% Con","inc",532.333333333333
"395","64","E2","B1 0","B1","0% Con","con",425.416666666667
"396","64","E2","B1 0","B1","0% Con","inc",486.333333333333
"397","64","E2","B1 0","B2","100% Con","con",441.090909090909
"398","64","E2","B1 0","B2","100% Con","inc",480.8
"399","64","E2","B1 0","B2","0% Con","con",406
"400","64","E2","B1 0","B2","0% Con","inc",485.181818181818
"401","65","E2","B1 0","B1","100% Con","con",560.3
"402","65","E2","B1 0","B1","100% Con","inc",693.909090909091
"403","65","E2","B1 0","B1","0% Con","con",642.5
"404","65","E2","B1 0","B1","0% Con","inc",739
"405","65","E2","B1 0","B2","100% Con","con",572.727272727273
"406","65","E2","B1 0","B2","100% Con","inc",740.1
"407","65","E2","B1 0","B2","0% Con","con",537.545454545455
"408","65","E2","B1 0","B2","0% Con","inc",667.636363636364
"409","66","E2","B1 0","B1","100% Con","con",371.545454545455
"410","66","E2","B1 0","B1","100% Con","inc",487.555555555556
"411","66","E2","B1 0","B1","0% Con","con",436.454545454545
"412","66","E2","B1 0","B1","0% Con","inc",462.5
"413","66","E2","B1 0","B2","100% Con","con",377.833333333333
"414","66","E2","B1 0","B2","100% Con","inc",447.428571428571
"415","66","E2","B1 0","B2","0% Con","con",369.916666666667
"416","66","E2","B1 0","B2","0% Con","inc",440.7
"417","67","E2","B1 0","B1","100% Con","con",860.333333333333
"418","67","E2","B1 0","B1","100% Con","inc",1155.27272727273
"419","67","E2","B1 0","B1","0% Con","con",860.909090909091
"420","67","E2","B1 0","B1","0% Con","inc",1103.91666666667
"421","67","E2","B1 0","B2","100% Con","con",810.272727272727
"422","67","E2","B1 0","B2","100% Con","inc",1146
"423","67","E2","B1 0","B2","0% Con","con",694.272727272727
"424","67","E2","B1 0","B2","0% Con","inc",1004.08333333333
"425","68","E2","B1 100","B1","100% Con","con",462.363636363636
"426","68","E2","B1 100","B1","100% Con","inc",527.727272727273
"427","68","E2","B1 100","B1","0% Con","con",528.181818181818
"428","68","E2","B1 100","B1","0% Con","inc",586.818181818182
"429","68","E2","B1 100","B2","100% Con","con",527.363636363636
"430","68","E2","B1 100","B2","100% Con","inc",570.454545454545
"431","68","E2","B1 100","B2","0% Con","con",517.25
"432","68","E2","B1 100","B2","0% Con","inc",547.5
"433","69","E2","B1 100","B1","100% Con","con",618.818181818182
"434","69","E2","B1 100","B1","100% Con","inc",736.4
"435","69","E2","B1 100","B1","0% Con","con",679.454545454545
"436","69","E2","B1 100","B1","0% Con","inc",803.75
"437","69","E2","B1 100","B2","100% Con","con",632.833333333333
"438","69","E2","B1 100","B2","100% Con","inc",777.363636363636
"439","69","E2","B1 100","B2","0% Con","con",716.083333333333
"440","69","E2","B1 100","B2","0% Con","inc",820.583333333333
"441","70","E2","B1 0","B1","100% Con","con",412.25
"442","70","E2","B1 0","B1","100% Con","inc",498.9
"443","70","E2","B1 0","B1","0% Con","con",741.2
"444","70","E2","B1 0","B1","0% Con","inc",765.444444444444
"445","70","E2","B1 0","B2","100% Con","con",425.181818181818
"446","70","E2","B1 0","B2","100% Con","inc",518.625
"447","70","E2","B1 0","B2","0% Con","con",434.25
"448","70","E2","B1 0","B2","0% Con","inc",495.363636363636
"449","71","E2","B1 0","B1","100% Con","con",653.833333333333
